# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
A4GALT	chr22|173 (-34009)
KIF21A	chr12|160 (-38213)
KIF21B	chr1|804 (+117827)
KIF26B	chr1|982 (+56714), chr1|983 (+306714), chr1|984 (+556714), chr1|985 (+806714)
KIF2A	chr5|247 (+22722)
KIF4A	chrX|279 (+115061)
KIF4B	chr5|618 (-18259)
KIF5C	chr2|599 (-7818), chr2|600 (+242182)
KIF7	chr15|361 (+73681)
KIFC3	chr16|232 (-38501)
KITLG	chr12|355 (+349237)
KLF12	chr13|299 (-55815), chr13|297 (+444185), chr13|296 (+694185)
KLF13	chr15|127 (+5943)
KLF14	chr7|524 (-456113), chr7|523 (-206113), chr7|522 (+43887)
KLF15	chr3|505 (-48716)
KLF17	chr1|179 (+40479)
KLF4	chr9|445 (-873074), chr9|444 (-623074), chr9|443 (-373074), chr9|442 (-123074), chr9|441 (+126926)
KLF5	chr13|294 (-257929), chr13|295 (-7929), chr13|296 (+242071), chr13|297 (+492071)
KLF7	chr2|834 (-344332), chr2|833 (-94332)
KLF8	chrX|224 (-384479)
KLF9	chr9|293 (-95461), chr9|292 (+154539)
KLHDC4	chr16|352 (-75446)
KLHL12	chr1|812 (+21389)
KLHL13	chrX|470 (-255758)
KLHL14	chr18|121 (+228024)
KLHL2	chr4|665 (-6044)
KLHL24	chr3|734 (+21590)
KLHL25	chr15|346 (-36740), chr15|345 (+213260)
KLHL3	chr5|548 (+196778)
KLHL41	chr2|682 (+8789)
KLHL8	chr4|353 (+16759), chr4|352 (+266759)
KLK2	chr19|206 (-1504)
KLRG2	chr7|557 (+43457)
KMT2A	chr11|474 (+67796)
KMT2C	chr7|609 (+8089)
KMT2E	chr7|419 (-29625), chr7|420 (+220375)
KNOP1	chr16|79 (+104555)
KNTC1	chr12|493 (+113206)
KPNA1	chr3|489 (+108774)
KPNA2	chr17|264 (-157075), chr17|265 (+92925)
KPNA3	chr13|202 (-7944)
KPNA4	chr3|642 (-91625)
KPNA7	chr7|396 (-69872)
KRBA1	chr7|598 (-37147)
KRBOX4	chrX|186 (+68709)
KRIT1	chr7|368 (+413)
KRR1	chr12|306 (-469600)
KRT32	chr17|159 (-1320)
KRT7	chr12|211 (-1897)
KRTAP10-12	chr21|185 (+7914)
KRTAP19-8	chr21|132 (-464206), chr21|131 (-214206)
KSR1	chr17|103 (-174035), chr17|104 (+75965)
KSR2	chr12|474 (+31787)
KY	chr3|538 (-5137)
KYNU	chr2|575 (-10066)
L3MBTL2	chr22|167 (+23792)
L3MBTL3	chr6|522 (+40157)
LACE1	chr6|435 (+8903), chr6|436 (+258903)
LACTB	chr15|254 (-38998)
LAD1	chr1|806 (-6265)
LAIR1	chr19|220 (+1563)
LAMA2	chr6|520 (+670659)
LAMA3	chr18|87 (+355594)
LAMA4	chr6|451 (-49084)
LAMB1	chr7|431 (+18699)
LAMB4	chr7|432 (-104200)
LAMC1	chr1|732 (-117594)
LAMC2	chr1|734 (+219578)
LAPTM4A	chr2|82 (-123212)
LAPTM4B	chr8|396 (+87716)
LARP1	chr5|616 (-217461), chr5|617 (+32539)
LARP1B	chr4|517 (+142578)
LARP6	chr15|285 (+21497)
LARP7	chr4|455 (+66719)
LARS	chr5|582 (+187222)
LAX1	chr1|815 (-109303)
LBH	chr2|122 (-79396)
LBR	chr1|903 (-8482), chr1|901 (+491518)
LCA5	chr6|321 (+122146)
LCMT1	chr16|101 (+1951)
LCP1	chr13|189 (-339518)
LCP2	chr5|679 (+100230)
LCT	chr2|547 (-30251)
LDHAL6B	chr15|239 (+125959)
LDHD	chr16|301 (+25664)
LECT1	chr13|214 (-61086)
LEF1	chr4|437 (-35423)
LEFTY2	chr1|905 (+4188)
LEMD1	chr1|822 (+16181)
LEP	chr7|512 (-6336)
LGALS13	chr19|161 (+31837)
LGALS16	chr19|161 (-21533)
LGALS3	chr14|223 (+29239)
LGALS8	chr1|947 (-56572)
LGALS9	chr17|104 (-81823), chr17|105 (+168177)
LGALSL	chr2|259 (-56225)
LGI1	chr10|383 (+107359)
LGI4	chr19|143 (+1103)
LGMN	chr14|373 (+90023)
LHCGR	chr2|196 (+107831)
LHFP	chr13|159 (+552307)
LHFPL3	chr7|416 (-94103), chr7|419 (+655897)
LHFPL5	chr6|144 (+101930)
LHX2	chr9|508 (+101112)
LHX4	chr1|721 (-74420), chr1|722 (+175580)
LHX5	chr12|458 (-465124)
LHX9	chr1|792 (-11528)
LIF	chr22|123 (+17839)
LIG1	chr19|195 (+48859)
LILRA4	chr19|220 (-24580)
LIMK2	chr22|127 (-19472)
LIMS1	chr2|437 (-146492)
LIN28B	chr6|422 (-29922)
LIN54	chr4|336 (+56981)
LINGO1	chr15|313 (-200169), chr15|312 (+49831)
LIPC	chr15|235 (-77767)
LIPG	chr18|189 (+36600)
LMAN1	chr18|229 (-97807)
LMAN2L	chr2|390 (+30800)
LMBR1	chr7|627 (+60923)
LMNB1	chr5|505 (+12161)
LMO7	chr13|305 (-209796), chr13|306 (+40204)
LMOD1	chr1|808 (+40714)
LMOD2	chr7|494 (+79140)
LMOD3	chr3|278 (-203284)
LMTK2	chr7|391 (-111196)
LMX1B	chr9|517 (-251721), chr9|518 (-1721)
LNPEP	chr5|386 (+103833)
LNX1	chr4|218 (+82782)
LONP2	chr16|194 (+96794)
LONRF3	chrX|473 (+16288)
LOX	chr5|486 (+38979)
LOXHD1	chr18|177 (+14274)
LPGAT1	chr1|849 (-120887), chr1|848 (+129113)
LRBA	chr4|608 (+61648)
LRIF1	chr1|447 (-118300)
LRIG1	chr3|267 (-73645), chr3|266 (+176355), chr3|265 (+426355)
LRIG2	chr1|455 (+9170), chr1|456 (+259170)
LRIG3	chr12|235 (+689302), chr12|234 (+939302)
LRP11	chr6|601 (+60161)
LRP1B	chr2|575 (-735731)
LRP2	chr2|681 (+94194)
LRP4	chr11|188 (+65172)
LRP8	chr1|216 (-81315)
LRPPRC	chr2|178 (-151857)
LRRC17	chr7|411 (+71563)
LRRC32	chr11|306 (+6043)
LRRC34	chr3|679 (-94549)
LRRC37A3	chr17|252 (+39902)
LRRC37B	chr17|122 (+26840)
LRRC4	chr7|512 (-203878), chr7|511 (+46122), chr7|510 (+296122)
LRRC4B	chr19|205 (-70702)
LRRC8D	chr1|362 (+88410)
LRRFIP2	chr3|149 (+92850)
LRRK1	chr15|407 (+165581)
LRRN2	chr1|819 (-33668)
LRRN3	chr7|445 (+393939)
LRRTM2	chr5|554 (-164022), chr5|553 (+85978)
LRTM1	chr3|222 (-412900), chr3|220 (+87100), chr3|219 (+337100)
LSM10	chr1|148 (-11508)
LSM14A	chr19|139 (-38470)
LSM6	chr4|588 (-221880), chr4|589 (+28120), chr4|590 (+278120)
LSMEM1	chr7|449 (+3955), chr7|450 (+253955)
LTBP1	chr2|132 (-297038), chr2|135 (+452962)
LTBP4	chr19|165 (+21860)
LTN1	chr21|122 (-9731)
LTV1	chr6|577 (-39480)
LUC7L3	chr17|196 (+78096)
LXN	chr3|634 (+15481)
LY75-CD302	chr2|644 (-113780)
LY96	chr8|301 (+221414)
LYG2	chr2|400 (-3431)
LYL1	chr19|53 (+88680)
LYN	chr8|228 (+82629)
LYPD6	chr2|602 (+187950)
LYPD6B	chr2|600 (-19980)
LYRM2	chr6|362 (-26529)
LYSMD4	chr15|404 (-601375), chr15|403 (-351375), chr15|402 (-101375)
LYST	chr1|945 (-94781)
M1AP	chr2|300 (+163)
MAB21L1	chr13|147 (-574169)
MAB21L2	chr4|605 (-378076), chr4|608 (+371924)
MAD2L1	chr4|484 (+113228), chr4|483 (+363228)
MAFB	chr20|159 (-307121), chr20|158 (-57121), chr20|157 (+192879)
MAFF	chr22|155 (+27112)
MAGI3	chr1|455 (-308580), chr1|456 (-58580)
MAK16	chr8|134 (+32733)
MAL	chr2|383 (-66428)
MALL	chr2|444 (-858)
MALT1	chr18|226 (+36383)
MAML2	chr11|384 (+201343)
MAML3	chr4|565 (-49663), chr4|563 (+450337)
MAN1A1	chr6|480 (-204075), chr6|479 (+45925)
MAN2A1	chr5|437 (+99934)
MANEA	chr6|385 (+99582)
MAP10	chr1|932 (-65642)
MAP1A	chr15|176 (+65178)
MAP1LC3B2	chr12|468 (-122185), chr12|469 (+127815)
MAP1LC3C	chr1|969 (+37374)
MAP3K10	chr19|163 (-72650)
MAP3K13	chr3|741 (+44093)
MAP3K2	chr2|513 (+21040)
MAP3K5	chr6|549 (-11345), chr6|548 (+238655)
MAP3K7	chr6|366 (-78237), chr6|365 (+171763)
MAP3K7CL	chr21|123 (+172128)
MAP4K3	chr2|159 (+39452)
MAP4K5	chr14|204 (+124326)
MAP6	chr11|302 (+5164)
MAP7	chr6|548 (-27391), chr6|547 (+222609)
MAP9	chr4|626 (-76879)
MAPK13	chr6|145 (+26903)
MAPK4	chr18|193 (+38553)
MAPK6	chr15|210 (+63603)
MAPK8	chr10|199 (+110268)
MAPK8IP1	chr11|184 (-32201)
MAPKAP1	chr9|514 (+94512), chr9|513 (+344512)
MAPKAPK2	chr1|828 (+16619)
MAPKAPK5	chr12|450 (+94571)
MAPRE2	chr18|131 (+3677)
MARCH10	chr17|244 (+10694)
MARCH3	chr5|506 (-8501), chr5|505 (+241499)
MARCH4	chr2|869 (+111749)
MARCH5	chr10|377 (+74081)
MARCH7	chr2|643 (+55991)
MARCH8	chr10|185 (-34647)
MARCKS	chr6|455 (-553540), chr6|456 (-303540), chr6|457 (-53540)
MARCO	chr2|480 (+175259)
MARVELD3	chr16|287 (-35089)
MAST2	chr1|186 (+105716)
MAST3	chr19|73 (-83602)
MAST4	chr5|264 (-17188), chr5|266 (+482812)
MAT1A	chr10|329 (-75561)
MATN1	chr1|125 (+71433)
MATN2	chr8|396 (-25204)
MAX	chr14|263 (-55813)
MB21D1	chr6|297 (+36998)
MBD2	chr18|207 (+126157)
MBD5	chr2|596 (+96421), chr2|598 (+596421)
MBIP	chr14|146 (+414881)
MBNL2	chr13|392 (+392)
MBP	chr18|300 (-30276), chr18|299 (+219724)
MBTPS1	chr16|337 (+25510)
MC3R	chr20|220 (+51213)
MC4R	chr18|231 (+415000)
MCAM	chr11|477 (+62825)
MCCC2	chr5|284 (-8123)
MCF2L	chr13|454 (-248534)
MCF2L2	chr3|733 (+21062)
MCFD2	chr2|189 (+17918)
MCHR1	chr22|165 (+50247)
MCHR2	chr6|404 (-432902), chr6|401 (+317098)
MCM3	chr6|209 (+24634)
MCM4	chr8|196 (+1505)
MCM5	chr22|144 (+78945)
MCM6	chr2|547 (+8995)
MCM9	chr6|478 (-118674)
MCOLN3	chr1|343 (-110872)
MCTP1	chr5|380 (-254722), chr5|379 (-4722)
MDH1	chr2|256 (+58634)
MDH2	chr7|304 (+197616)
MDM1	chr12|276 (-148889)
MDN1	chr6|362 (+154441)
ME1	chr6|337 (+15789)
ME2	chr18|194 (-30418)
ME3	chr11|346 (+8677), chr11|345 (+258677)
MECOM	chr3|678 (-510908), chr3|672 (+989092)
MECP2	chrX|614 (-11824)
MED12L	chr3|604 (+70325)
MED13	chr17|241 (+17642)
MED13L	chr12|468 (-159858)
MED27	chr9|540 (+80294), chr9|539 (+330294)
MED30	chr8|475 (+92049)
MED4	chr13|195 (+44239)
MEDAG	chr13|127 (+144673)
MEF2A	chr15|400 (-230904)
MEF2C	chr5|352 (+324898), chr5|351 (+574898)
MEGF10	chr5|507 (-1550)
MEGF8	chr19|172 (+45240)
MEGF9	chr9|494 (+101747)
MEI1	chr22|169 (+29498)
MEIS1	chr2|267 (-37531)
MEIS3	chr19|192 (+47544)
MEMO1	chr2|129 (+110625)
MESDC2	chr15|326 (-92782), chr15|325 (+157218)
MEST	chr7|521 (-6933)
MET	chr7|466 (+62542)
METAP1	chr4|400 (-41770)
METAP1D	chr2|692 (+10511)
METAP2	chr12|383 (-242726), chr12|384 (+7274)
METRNL	chr17|325 (+60039)
METTL14	chr4|478 (-231522), chr4|479 (+18478)
METTL21C	chr13|414 (-28147)
METTL21D	chr14|203 (-41726), chr14|202 (+208274)
METTL24	chr6|443 (+54474)
METTL2B	chr7|513 (+8218)
METTL8	chr2|689 (+165595)
METTL9	chr16|87 (+14204)
MEX3B	chr15|330 (-36519), chr15|329 (+213481)
MEX3C	chr18|196 (-151311), chr18|195 (+98689)
MFAP1	chr15|177 (-8001)
MFAP3L	chr4|684 (+72558)
MFGE8	chr15|359 (-168359)
MFN1	chr3|717 (+59521)
MFNG	chr22|152 (+7438)
MFSD1	chr3|635 (+105347)
MFSD2A	chr1|162 (-45821)
MFSD6	chr2|766 (+101920)
MGARP	chr4|561 (+76491)
MGAT3	chr22|160 (+21652)
MGAT5	chr2|540 (-2752), chr2|541 (+247248), chr2|542 (+497248)
MGAT5B	chr17|300 (+6272)
MGME1	chr20|72 (-74555)
MGST2	chr4|563 (+38079)
MGST3	chr1|663 (+24903)
MIA3	chr1|892 (+83573)
MIB1	chr18|78 (+53720), chr18|79 (+303720)
MICAL3	chr22|74 (+132324)
MID2	chrX|429 (+55892)
MIEN1	chr17|152 (+12039)
MIER1	chr1|270 (-15641)
MIER3	chr5|226 (-127049)
MINPP1	chr10|356 (-389631), chr10|358 (+110369)
MIS18A	chr21|135 (+26379)
MIS18BP1	chr14|183 (+97604)
MKLN1	chr7|523 (-387618), chr7|524 (-137618), chr7|525 (+112382)
MKRN1	chr7|561 (+54368)
MLF1	chr3|632 (-414048)
MLH1	chr3|149 (+90178)
MLNR	chr13|199 (-169473)
MLYCD	chr16|336 (-57730)
MMAA	chr4|587 (+85586)
MMADHC	chr2|602 (+69115)
MME	chr3|622 (+577565)
MMP15	chr16|233 (+65531)
MMRN2	chr10|355 (+92371)
MMS22L	chr6|391 (+106051), chr6|390 (+356051)
MN1	chr22|110 (+822485)
MNAT1	chr14|246 (+173521)
MOAP1	chr14|375 (+26267)
MOB3C	chr1|189 (-44196)
MOB4	chr2|794 (-5555)
MOCS2	chr5|210 (+30588)
MOCS3	chr20|199 (+49638)
MOGAT1	chr2|895 (+88496)
MOK	chr14|411 (+146536)
MON2	chr12|252 (+14404), chr12|253 (+264404)
MORC2	chr22|126 (-10814), chr22|125 (+239186)
MORC3	chr21|151 (-67486)
MORF4L1	chr15|317 (-40155)
MPHOSPH10	chr2|286 (+17557)
MPHOSPH6	chr16|329 (+78830)
MPO	chr17|226 (-16705)
MPP4	chr2|811 (-61584)
MPPED1	chr22|176 (+67799), chr22|177 (+317799)
MPZL1	chr1|671 (-66186), chr1|672 (+183814)
MPZL3	chr11|473 (-1936)
MR1	chr1|725 (+121862)
MRAP2	chr6|339 (-118474), chr6|340 (+131526)
MRAS	chr3|553 (+58462)
MRC2	chr17|243 (-79761), chr17|244 (+170239)
MREG	chr2|868 (+3345)
MRI1	chr19|56 (-362)
MRO	chr18|194 (-28567), chr18|193 (+221433)
MRPL1	chr4|316 (+91327)
MRPL13	chr8|486 (+82625)
MRPL15	chr8|221 (+77231)
MRPL19	chr2|304 (+1092)
MRPL21	chr11|275 (+46287)
MRPL22	chr5|618 (+54371)
MRPL3	chr3|528 (-653188), chr3|525 (+96812)
MRPL39	chr21|108 (+104828)
MRPL4	chr19|42 (+12358)
MRPL42	chr12|376 (+13737)
MRPS18C	chr4|338 (-2117)
MRPS22	chr3|556 (+150353)
MRPS23	chr17|224 (+52416)
MRPS24	chr7|176 (+34155)
MRPS28	chr8|324 (+67505)
MRPS6	chr21|142 (-70822)
MRPS9	chr2|423 (-29440)
MSANTD3	chr9|413 (-64437)
MSH2	chr2|191 (-5107)
MSH6	chr2|192 (-135220), chr2|193 (+114780)
MSI2	chr17|222 (+41106), chr17|223 (+291106)
MSL2	chr3|544 (+39687)
MT2A	chr16|227 (-17110)
MT3	chr16|227 (+1721)
MTA2	chr11|250 (-5689)
MTA3	chr2|172 (+79344)
MTCH2	chr11|191 (+39174)
MTDH	chr8|395 (-31406)
MTERFD3	chr12|430 (+5903)
MTF1	chr1|154 (-49709)
MTF2	chr1|375 (+80206)
MTFR1	chr8|267 (+68027)
MTHFD1	chr14|260 (+20242)
MTHFD1L	chr6|605 (-61684)
MTHFS	chr15|321 (+64390), chr15|320 (+314390)
MTIF2	chr2|223 (-128686)
MTMR2	chr11|384 (-217542), chr11|383 (+32458)
MTPN	chr7|543 (+37063)
MTR	chr1|948 (-83609)
MTRNR2L10	chrX|221 (+83943)
MTRNR2L2	chr5|320 (+71854)
MTRNR2L7	chr10|153 (-233142)
MTSS1L	chr16|283 (+94968)
MTTP	chr4|403 (+139761)
MTX2	chr2|709 (-9146), chr2|711 (+490854), chr2|712 (+740854)
MUC20	chr3|782 (-72752)
MUC8	chr12|533 (-74275)
MUTYH	chr1|184 (-68941)
MVB12B	chr9|516 (-214127), chr9|517 (+35873)
MX1	chr21|172 (+82559)
MXD1	chr2|281 (-17202)
MXI1	chr10|448 (-92362)
MYB	chr6|543 (+122548)
MYBL1	chr8|270 (+150483)
MYBPC1	chr12|408 (-113746)
MYBPH	chr1|813 (+19940)
MYBPHL	chr1|440 (-25338)
MYCBP2	chr13|312 (+25813), chr13|311 (+275813)
MYCL	chr1|162 (-7316)
MYH9	chr22|148 (-90938)
MYLK	chr3|494 (+228148)
MYLK2	chr20|122 (-32110)
MYO1E	chr15|240 (-209902), chr15|239 (+40098)
MYO1H	chr12|440 (+89293)
MYO3B	chr2|685 (+90346)
MYO5B	chr18|191 (+96462), chr18|190 (+346462)
MYO6	chr6|306 (-84048)
MYO7A	chr11|308 (+35691)
MYO7B	chr2|514 (+81623)
MYOC	chr1|687 (-3190)
MYOF	chr10|381 (+116950), chr10|380 (+366950)
MYOT	chr5|549 (-78479)
MYOZ2	chr4|480 (-181938), chr4|481 (+68062)
MYPN	chr10|280 (+6007)
MYRFL	chr12|283 (+298685)
MYT1	chr20|252 (+79174)
MZT2A	chr2|530 (-125006)
N4BP1	chr16|195 (+19119)
NAA20	chr20|80 (-122759)
NAA35	chr9|354 (-181060), chr9|355 (+68940)
NAAA	chr4|308 (-12797)
NAB1	chr2|767 (+111042)
NABP1	chr2|771 (+81743)
NACA	chr12|229 (-5918)
NACAD	chr7|181 (+3512)
NAF1	chr4|657 (-36928)
NAGLU	chr17|163 (-63189)
NALCN	chr13|406 (+693705)
NAMPT	chr7|426 (-449363), chr7|424 (+50637)
NANP	chr20|103 (-20190)
NANS	chr9|404 (+55980)
NAP1L1	chr12|307 (-146188)
NAP1L5	chr4|360 (-255615), chr4|359 (-5615)
NAPB	chr20|94 (+27124)
NAPEPLD	chr7|412 (-85372)
NARG2	chr15|244 (-103657)
NARS	chr18|222 (-85596)
NARS2	chr11|316 (-589092), chr11|315 (-339092), chr11|314 (-89092)
NASP	chr1|185 (+75269)
NAT10	chr11|137 (-2148), chr11|138 (+247852)
NAT8	chr2|296 (-5481), chr2|295 (+244519)
NAV1	chr1|807 (+7624)
NBPF16	chr1|597 (+385558)
NBPF9	chr1|579 (-186747)
NCAPH	chr2|389 (+123476)
NCBP2	chr3|787 (+44467)
NCCRP1	chr19|159 (-62600)
NCEH1	chr3|690 (+54007)
NCK1	chr3|547 (+43951)
NCK2	chr2|425 (-236353), chr2|426 (+13647)
NCKAP1	chr2|736 (+28585)
NCKAP1L	chr12|220 (-16494)
NCOA2	chr8|286 (-58961)
NCOA3	chr20|185 (-5670)
NCOA7	chr6|505 (+22694)
NCS1	chr9|532 (-59856)
NDFIP1	chr5|567 (+136931)
NDFIP2	chr13|321 (+69714), chr13|322 (+319714), chr13|323 (+569714), chr13|324 (+819714)
NDNL2	chr15|119 (-62968)
NDST3	chr4|477 (+169501)
NDUFA12	chr12|382 (+22545), chr12|381 (+272545)
NDUFA13	chr19|79 (-1546)
NDUFA8	chr9|500 (+47097)
NDUFAB1	chr16|95 (-17389)
NDUFAF4	chr6|391 (-279244), chr6|390 (-29244)
NDUFAF6	chr8|385 (+87787)
NDUFB2	chr7|562 (-21470)
NDUFB4	chr3|482 (+59845)
NDUFS4	chr5|213 (+268536)
NEB	chr2|611 (-34000), chr2|610 (+216000)
NECAB1	chr8|368 (+71223)
NEDD1	chr12|388 (-426243)
NEDD4L	chr18|223 (-86609), chr18|224 (+163391), chr18|225 (+413391)
NEFH	chr22|120 (-1218)
NEK2	chr1|848 (-26041)
NEK3	chr13|212 (-143381)
NEK5	chr13|211 (+78213)
NEK6	chr9|508 (-145241), chr9|509 (+104759)
NEK7	chr1|793 (-1092)
NENF	chr1|851 (+18772)
NEO1	chr15|293 (-219050)
NES	chr1|627 (+22188)
NETO2	chr16|189 (+52907)
NEUROG1	chr5|540 (-3362)
NEUROG2	chr4|454 (+62327)
NEUROG3	chr10|286 (-42007)
NEXN	chr1|314 (+20688)
NFAM1	chr22|172 (-46600), chr22|171 (+203400)
NFASC	chr1|819 (-172781), chr1|820 (+77219)
NFAT5	chr16|279 (+26004)
NFATC1	chr18|308 (-285335), chr18|309 (-35335), chr18|310 (+214665)
NFATC2	chr20|202 (-215743), chr20|201 (+34257), chr20|200 (+284257)
NFATC3	chr16|273 (+5440)
NFE2L1	chr17|185 (-720)
NFE2L2	chr2|713 (+4858)
NFIL3	chr9|379 (-438857)
NFIX	chr19|53 (+18579)
NFKB1	chr4|414 (-47485)
NFKBIA	chr14|144 (-1049)
NFKBID	chr19|146 (+16551)
NFU1	chr2|279 (+39759)
NFXL1	chr4|192 (+41555)
NGFR	chr17|191 (+52346)
NGFRAP1	chrX|411 (-6322)
NHLRC3	chr13|159 (+12546)
NID1	chr1|945 (+103461)
NINJ1	chr9|384 (+21569)
NIPAL4	chr5|628 (-12026)
NIPSNAP3A	chr9|431 (+115032)
NKAIN3	chr8|256 (+713500)
NKAP	chrX|477 (-47266)
NKD1	chr16|203 (+42760)
NKG7	chr19|208 (+968)
NKIRAS2	chr17|161 (-44037)
NKPD1	chr19|183 (+38407)
NLGN3	chrX|282 (+10289)
NLN	chr5|261 (+106978)
NLRC5	chr16|229 (+101591)
NLRP5	chr19|227 (+113909)
NMBR	chr6|570 (+34935)
NMD3	chr3|644 (-64346)
NMI	chr2|609 (+21570)
NMNAT2	chr1|734 (+12736)
NMNAT3	chr3|559 (-228142), chr3|558 (+21858)
NMRK1	chr9|311 (+78124)
NMS	chr2|405 (+38057)
NMT1	chr17|173 (-3977)
NMU	chr4|227 (-122536)
NNT	chr5|175 (+22176)
NOA1	chr4|232 (-30012)
NOC3L	chr10|385 (-2305), chr10|384 (+247695)
NOC4L	chr12|531 (-3992)
NOG	chr17|220 (+203941)
NOL11	chr17|263 (-88948)
NOP58	chr2|813 (-5438)
NOS1	chr12|474 (-606122)
NOS1AP	chr1|650 (+335435)
NOS2	chr17|105 (+2524)
NOSTRIN	chr2|678 (-279660), chr2|679 (-29660)
NOTCH2NL	chr1|582 (+150402)
NOTO	chr2|294 (-54385)
NOX5	chr15|278 (+67967)
NOXRED1	chr14|312 (+14398)
NPEPL1	chr20|230 (+107332)
NPFFR1	chr10|289 (-81561)
NPHS2	chr1|718 (+170067)
NPIPB15	chr16|298 (-36775)
NPNT	chr4|428 (+58403), chr4|429 (+308403)
NPTN	chr15|296 (+50753)
NPTX2	chr7|393 (-121608), chr7|394 (+128392)
NPY1R	chr4|657 (+129013)
NPY5R	chr4|658 (+109747)
NQO1	chr16|279 (+135853)
NR1H2	chr19|204 (-4725)
NR2F1	chr5|372 (-44042)
NR2F2	chr15|387 (-248945)
NR3C1	chr5|573 (-341747), chr5|572 (-91747), chr5|571 (+158253), chr5|570 (+408253)
NR3C2	chr4|598 (-11329), chr4|596 (+488671)
NR4A3	chr9|409 (-464008), chr9|411 (+35992)
NR5A1	chr9|510 (-105292)
NR5A2	chr1|801 (+128271)
NR6A1	chr9|510 (+158555)
NRBF2	chr10|259 (-268049), chr10|260 (-18049), chr10|261 (+231951)
NRCAM	chr7|433 (-28175), chr7|432 (+221825)
NRD1	chr1|210 (-30524), chr1|209 (+219476)
NREP	chr5|447 (-312373), chr5|446 (-62373), chr5|445 (+187627), chr5|444 (+437627)
NRF1	chr7|517 (-126554), chr7|518 (+123446)
NRG2	chr5|558 (+47878)
NRP2	chr2|827 (+77777), chr2|828 (+327777)
NRXN3	chr14|314 (-495092), chr14|315 (-245092)
NSF	chr17|180 (+206966)
NSMAF	chr8|239 (-52908)
NSUN7	chr4|165 (+373087)
NT5C	chr17|293 (+2889)
NT5C1A	chr1|161 (+12709)
NT5DC3	chr12|417 (+109974)
NT5E	chr6|345 (-34808)
NTN4	chr12|385 (+59535)
NTPCR	chr1|933 (+38631)
NTRK3	chr15|355 (+174660), chr15|354 (+424660)
NUAK1	chr12|427 (-91190)
NUAK2	chr1|822 (-84118)
NUDCD2	chr5|652 (+12145)
NUDT12	chr5|412 (+23493), chr5|411 (+273493)
NUDT15	chr13|195 (+13298)
NUDT16	chr3|525 (+24372)
NUDT4	chr12|374 (-396658), chr12|375 (-146658)
NUDT9	chr4|354 (+31267)
NUFIP1	chr13|183 (-61383), chr13|182 (+188617)
NUFIP2	chr17|111 (-3865)
NUMBL	chr19|165 (+71555)
NUP107	chr12|277 (+44487)
NUP133	chr1|919 (+19087)
NUP155	chr5|150 (-3718)
NUP160	chr11|192 (-4982)
NUP210L	chr1|617 (+2591)
NUP50	chr22|183 (+65279)
NUP54	chr4|309 (-55333)
NUP62CL	chrX|426 (+74662)
NUP93	chr16|228 (+110984)
NUS1	chr6|473 (+128336)
NVL	chr1|898 (+143088)
NXPE1	chr11|458 (+55579)
NXPH2	chr2|558 (+162917)
NXPH3	chr17|191 (-28219)
NXT1	chr20|93 (-206372)
OBFC1	chr10|423 (+52962)
OBSCN	chr1|914 (-20830)
OCIAD1	chr4|196 (+41900)
OCIAD2	chr4|196 (+33844)
OCM2	chr7|391 (-5493)
OGDHL	chr10|204 (+95368)
OGN	chr9|381 (+41840)
OGT	chrX|283 (-127932)
OLA1	chr2|701 (-11575), chr2|700 (+238425)
OLFM4	chr13|215 (+22107)
OLFML2B	chr1|648 (+118643)
OLIG2	chr21|138 (-23242)
ONECUT2	chr18|221 (+22084)
OPN1LW	chrX|614 (-34697)
OPN3	chr1|968 (-71338)
OPN4	chr10|354 (-39313)
OPRK1	chr8|219 (-460744), chr8|218 (-210744)
OR10AD1	chr12|195 (-27831)
OR13H1	chrX|524 (+197051)
OR14I1	chr1|997 (-279372)
OR2B11	chr1|991 (-9693)
OR2C3	chr1|991 (+72140)
OR2F2	chr7|575 (-7258)
OR4B1	chr11|193 (-113343)
OR4D9	chr11|238 (+92615)
OR4F15	chr15|410 (+16635)
OR4F4	chr15|410 (+88297)
OR9Q1	chr11|231 (-166352)
ORC1	chr1|212 (-4870)
ORC2	chr2|808 (-46598)
ORC3	chr6|354 (+75148)
ORC5	chr7|416 (-26506)
ORM2	chr9|469 (+32852)
OS9	chr12|233 (+37097)
OSBP	chr11|238 (+8616)
OSBP2	chr22|125 (+34208)
OSBPL10	chr3|127 (+397793)
OSBPL11	chr3|503 (-311067), chr3|502 (-61067)
OSBPL1A	chr18|88 (+102822)
OSBPL6	chr2|717 (+65793)
OSBPL7	chr17|184 (+24135)
OSBPL8	chr12|309 (-171412), chr12|308 (+78588)
OSBPL9	chr1|209 (+42237)
OSCP1	chr1|148 (+41051)
OSGEPL1	chr2|763 (+2492)
OSGIN2	chr8|364 (-39761)
OSTC	chr4|439 (+53198)
OSTM1	chr6|434 (+20940)
OTOGL	chr12|322 (-228232)
OTUD4	chr4|586 (-274169), chr4|585 (-24169)
OTUD6B	chr8|369 (+42577)
OTUD7A	chr15|127 (+322541)
OTX2	chr14|229 (+152186)
OXER1	chr2|172 (+116400)
OXGR1	chr13|391 (+21603), chr13|389 (+521603)
OXR1	chr8|431 (+164849)
P2RX2	chr12|533 (-70402)
